"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"ebi-a-GCST90001391","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001391","Inverse variance weighted",17,-0.00864104964495257,0.0246629354027807,0.726064172588812,-0.0569804030344027,0.0396983037444976,0.991396176921826,0.944612580725387,1.04049681284199
"ebi-a-GCST90001391","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001391","MR Egger",17,0.0142432749025498,0.0391595264322819,0.721139383798067,-0.0625093969047228,0.0909959467098223,1.01434519365323,0.939404235279905,1.09526456582436
"ebi-a-GCST90001391","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001391","Weighted median",17,-0.00371072373530474,0.0334724680285312,0.911728172558211,-0.0693167610712259,0.0618953136006164,0.996296152492126,0.933031085338141,1.06385096817099
"ebi-a-GCST90001392","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001392","Inverse variance weighted",29,0.00800777447723815,0.00868228011642653,0.356365655956547,-0.00900949455095784,0.0250250435054341,1.00803992245724,0.991030969334175,1.02534079833075
"ebi-a-GCST90001392","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001392","MR Egger",29,0.0172403408402877,0.009529833685568,0.0815853979805928,-0.0014381331834256,0.035918814864001,1.01738981326611,0.998562900434548,1.03657168886126
"ebi-a-GCST90001392","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001392","Weighted median",29,0.0171903338703981,0.0112198522573738,0.125489002763941,-0.00480057655405463,0.0391812442948509,1.01733893795642,0.995210927797036,1.03995895319727
"ebi-a-GCST90001393","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001393","Inverse variance weighted",15,0.014209020976501,0.0260229980629227,0.585053679889901,-0.0367960552268275,0.0652140971798294,1.01431044894305,0.963872692102569,1.06738752458149
"ebi-a-GCST90001393","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001393","MR Egger",15,0.036925982259303,0.0382400175608396,0.351846795972383,-0.0380244521599426,0.111876416678549,1.03761621598771,0.962689400768195,1.11837463965172
"ebi-a-GCST90001393","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001393","Weighted median",15,0.0129867270384862,0.0368191717052552,0.724301035821448,-0.0591788495038139,0.0851523035807864,1.01307142081259,0.942538181595544,1.08888289483391
"ebi-a-GCST90001394","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001394","Inverse variance weighted",25,-0.00169833277138699,0.00926960184169371,0.85462909928704,-0.0198667523811067,0.0164700868383327,0.998303108579634,0.980329291148081,1.01660646641764
"ebi-a-GCST90001394","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001394","MR Egger",25,0.00612699491689457,0.0107890228332038,0.575611094469743,-0.0150194898361848,0.027273479669974,1.00614580334367,0.985092740119834,1.02764880539363
"ebi-a-GCST90001394","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001394","Weighted median",25,-0.00301082529816033,0.0124173377905983,0.808416411462567,-0.0273488073677331,0.0213271567714124,0.99699370269086,0.97302178515771,1.02155620600429
"ebi-a-GCST90001395","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001395","Inverse variance weighted",22,0.0162769647107276,0.0124820592504045,0.192223763958852,-0.00818787142006526,0.0407418008415205,1.01641015617045,0.99184555789859,1.04158313493405
"ebi-a-GCST90001395","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001395","MR Egger",22,0.0184418074936452,0.0140165013185742,0.20315109582545,-0.00903053509076023,0.0459141500780507,1.01861290780673,0.991010117726985,1.04698452355895
"ebi-a-GCST90001395","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001395","Weighted median",22,0.0163053869214226,0.0160770337933463,0.310485570500184,-0.0152055993135362,0.0478163731563814,1.0164390452046,0.984909422083969,1.04897801711593
"ebi-a-GCST90001396","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001396","Inverse variance weighted",17,-0.0724167998703962,0.0294209010815685,0.0138393429203673,-0.130081765990271,-0.0147518337505219,0.930143131470109,0.878023635513351,0.985356441475732
"ebi-a-GCST90001396","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001396","MR Egger",17,-0.022777086907434,0.0682968586312218,0.743372275216941,-0.156638929824629,0.111084756009761,0.977480352657795,0.855012722683398,1.11748961680165
"ebi-a-GCST90001396","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001396","Weighted median",17,-0.0662621189194245,0.0422361430800972,0.116683193518917,-0.149044959356415,0.016520721517566,0.935885518837278,0.861530380176796,1.01665794326322
"ebi-a-GCST90001397","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001397","Inverse variance weighted",31,0.000818396231899075,0.0163340230914121,0.960039690816557,-0.0311962890272686,0.0328330814910668,1.00081873120947,0.969285294334252,1.03337803492387
"ebi-a-GCST90001397","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001397","MR Egger",31,-0.0129925307090173,0.0224624453657544,0.567451727787282,-0.0570189236258959,0.0310338622078612,0.987091507866451,0.944576194390861,1.03152043285444
"ebi-a-GCST90001397","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001397","Weighted median",31,-0.000531260154612884,0.0211790602463911,0.979987788797082,-0.0420422182375395,0.0409796979283137,0.999468880939076,0.958829299634842,1.04183095400406
