"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"ebi-a-GCST90001391","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001391","Inverse variance weighted",17,-0.0170943748482957,0.0229714560879082,0.45678136706942,-0.0621184287805957,0.0279296790840043,0.983050904976921,0.939771584197749,1.02832336923756
"ebi-a-GCST90001391","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001391","MR Egger",17,0.00227259386872343,0.0364633479953584,0.951126590519477,-0.069195568202179,0.0737407559396259,1.00227517816749,0.933144168904606,1.07652768590934
"ebi-a-GCST90001391","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001391","Weighted median",17,-0.000919087554129793,0.0321442105039241,0.977189489184048,-0.063921740141821,0.0620835650335614,0.99908133467747,0.938078410541494,1.06405125849207
"ebi-a-GCST90001392","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001392","Inverse variance weighted",29,0.0123347214024485,0.00808817129761947,0.127251074613445,-0.00351809434088562,0.0281875371457827,1.0124111078238,0.996488086902153,1.02858856489838
"ebi-a-GCST90001392","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001392","MR Egger",29,0.0222796177806778,0.00887807120576573,0.0183907735279556,0.00487859821737697,0.0396806373439786,1.02252966197512,1.00489051795365,1.04047843117093
"ebi-a-GCST90001392","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001392","Weighted median",29,0.0191027029892026,0.0110541891621447,0.0839709672604171,-0.00256350776860098,0.0407689137470061,1.01928632699456,0.997439775211525,1.04161137566199
"ebi-a-GCST90001393","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001393","Inverse variance weighted",15,0.00677923800347738,0.0242568086727575,0.779878220636951,-0.0407641069951274,0.0543225830020822,1.00680226905234,0.960055573632617,1.05582513846936
"ebi-a-GCST90001393","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001393","MR Egger",15,0.0293205501714421,0.0356419816922186,0.425545023196648,-0.0405377339453063,0.0991788342881905,1.02975462959896,0.960272928941582,1.10426376212569
"ebi-a-GCST90001393","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001393","Weighted median",15,0.0156302899019673,0.0346860118848122,0.65226180302815,-0.0523542933922646,0.0836148731961992,1.0157530818067,0.948992585472932,1.08721009941888
"ebi-a-GCST90001394","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001394","Inverse variance weighted",25,0.00396774850248098,0.00863488602084873,0.645873624193031,-0.0129566280983825,0.0208921251033445,1.00397563043763,0.987126947664706,1.02111189335601
