"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"ebi-a-GCST90001534","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001534","Inverse variance weighted",15,0.00412109381599324,0.012682231089503,0.745218745485289,-0.0207360791194327,0.0289782667514192,1.00412959720018,0.979477435007229,1.02940222197764
"ebi-a-GCST90001534","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001534","MR Egger",15,-0.00375758990266073,0.0145567437340291,0.800345021110502,-0.0322888076213579,0.0247736278160364,0.996249461004041,0.96822691038456,1.02508304397017
"ebi-a-GCST90001534","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001534","Weighted median",15,-0.00544826670431767,0.0140792772153246,0.698777954869183,-0.0330436500463539,0.0221471166377186,0.994566548183359,0.967496327407782,1.02239418460185
"ebi-a-GCST90001535","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001535","Inverse variance weighted",30,0.0166363410485777,0.0172003707710532,0.333439923221469,-0.0170763856626866,0.0503490677598419,1.01677549557336,0.983068589421178,1.05163812527787
"ebi-a-GCST90001535","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001535","MR Egger",30,0.0354808795150385,0.0253959768933919,0.173356271226249,-0.0142952351960095,0.0852569942260866,1.03611783686315,0.985806456532883,1.08899689665418
"ebi-a-GCST90001535","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001535","Weighted median",30,0.0360413949143515,0.0251913234832638,0.152514296480199,-0.0133335991128454,0.0854163889415485,1.03669875965909,0.986754899547925,1.0891704908393
"ebi-a-GCST90001536","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001536","Inverse variance weighted",26,9.11496133703304e-05,0.00659755883884615,0.988977050833188,-0.0128400657107681,0.0130223649375088,1.00009115376762,0.987242016244808,1.01310752519293
"ebi-a-GCST90001536","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001536","MR Egger",26,-0.00405016637333659,0.007544571693938,0.59632583672345,-0.0188375268934551,0.0107371941467819,0.99595802448864,0.981338790452915,1.01079504468127
"ebi-a-GCST90001536","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001536","Weighted median",26,-0.0044811344291796,0.00882055702113363,0.611430170060471,-0.0217694261906015,0.0128071573322423,0.995528890873207,0.978465817634431,1.01288952020756
"ebi-a-GCST90001537","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001537","Inverse variance weighted",28,0.00145919193324985,0.018654254702034,0.937650659565751,-0.0351031472827367,0.0380215311492364,1.00146025707182,0.96550582181922,1.03875359819646
"ebi-a-GCST90001537","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001537","MR Egger",28,-0.00586162490049461,0.0266175086008118,0.827422246952563,-0.0580319417580858,0.0463086919570966,0.994155520905623,0.943619806079846,1.04739768429945
"ebi-a-GCST90001537","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001537","Weighted median",28,-0.0107102252614424,0.0251108880424704,0.669731029030081,-0.0599275658246843,0.0385071153017995,0.989346924988479,0.941832751992223,1.03925812296687
"ebi-a-GCST90001538","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001538","Inverse variance weighted",32,0.00385843822237367,0.00631454200526933,0.541173049788535,-0.00851806410795421,0.0162349405527016,1.00386589157815,0.991518111810983,1.01636744328692
"ebi-a-GCST90001538","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001538","MR Egger",32,0.00106837839196834,0.0069495111961047,0.878848718694117,-0.0125526635523969,0.0146894203363335,1.00106894931146,0.987525792508114,1.01479784009522
"ebi-a-GCST90001538","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001538","Weighted median",32,0.00168901518907173,0.00762025736639156,0.824587873870785,-0.0132466892490557,0.0166247196271992,1.00169044237863,0.986840662008587,1.01676367926554
"ebi-a-GCST90001539","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001539","Inverse variance weighted",24,0.0318686030880336,0.0203748088942402,0.117789885466878,-0.00806602234467717,0.0718032285207445,1.03238184460626,0.99196642072611,1.07444390334551
"ebi-a-GCST90001539","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001539","MR Egger",24,0.0427130368842871,0.0330174275200759,0.209203861567427,-0.0220011210550617,0.107427194823636,1.04363836615859,0.978239138390658,1.11340979579905
"ebi-a-GCST90001539","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001539","Weighted median",24,0.0554864123669518,0.0328954055986642,0.0916509247798987,-0.00898858260642993,0.119961407340334,1.05705465410409,0.991051693935527,1.12745333931674
"ebi-a-GCST90001540","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001540","Inverse variance weighted",25,0.00584068618634252,0.0239737757287885,0.807518838854627,-0.0411479142420829,0.052829286614768,1.00585777625027,0.959687168048866,1.05424965522893
"ebi-a-GCST90001540","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001540","MR Egger",25,-0.0262304066584024,0.0483256176566871,0.592499537353879,-0.120948617265509,0.0684878039487044,0.974110622176977,0.886079487610238,1.07088756427167
"ebi-a-GCST90001540","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001540","Weighted median",25,-0.0215020754528907,0.0350466114443186,0.539527311798034,-0.0901934338837552,0.0471892829779737,0.978727446164332,0.913754417109603,1.04832041951208
"ebi-a-GCST90001541","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001541","Inverse variance weighted",35,-0.0264132725075864,0.0176469256164154,0.134454831018568,-0.0610012467157605,0.00817470170058783,0.973932506896951,0.94082206683758,1.00820820580767
"ebi-a-GCST90001541","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001541","MR Egger",35,-0.038106956620102,0.0286799182027225,0.193062702297462,-0.0943195962974381,0.0181056830572341,0.9626099778753,0.909991885724338,1.01827058465199
"ebi-a-GCST90001541","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001541","Weighted median",35,-0.0461813635952739,0.0270377631813382,0.0876304127269519,-0.0991753794306968,0.00681265224014889,0.954868768052845,0.905583873311635,1.0068359111437
"ebi-a-GCST90001542","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001542","Inverse variance weighted",22,0.00305001479193417,0.0115147721618147,0.791103114046874,-0.0195189386452226,0.025618968229091,1.0030546708195,0.980670322445478,1.02594995445959
"ebi-a-GCST90001542","summary_stats_release_finngen_R12_FE_STRICT","summary_stats_release_finngen_R12_FE_STRICT","ebi-a-GCST90001542","MR Egger",22,0.00158981189443589,0.0151213821036553,0.917314648149948,-0.0280480970287284,0.0312277208176002,1.00159107631534,0.97234159893474,1.03172042135559
